model_name,fold,dice_bce_focal,train_metric,val_metric,test_metric,train_loss,val_loss,test_loss,stopped_epoch,mse_vector_loss,transform,weight_decay,stop_patience,scheduler_patience,scheduler_factor,lr,loss_weight,dataset,jensen_vector_y,mse_vector_loss_y,loss_type
unet_resnet34,0,"1, 0, 0",0.5711041688919067,0.4567024111747742,0.4717419445514679,0.42889571138623306,0.5432976285616556,0.5282581742630889,149,113.41879272460938,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unet_resnet34,1,"1, 0, 0",0.5605183839797974,0.5005548000335693,0.4890336692333222,0.43948132868773815,0.4994451841887306,0.5109663848450642,149,169.34539794921875,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unet_resnet34,2,"1, 0, 0",0.5492570996284485,0.5066884756088257,0.498279333114624,0.4507425417917659,0.4933114685848647,0.5017206432014112,149,172.17724609375,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unet_resnet34,3,"1, 0, 0",0.5717100501060486,0.5566087365150452,0.4837773442268371,0.4282897890199901,0.4433913099415162,0.5162225478137565,149,177.4346466064453,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unet_resnet34,4,"1, 0, 0",0.5592476725578308,0.5171775817871094,0.5024447441101074,0.44075242700237854,0.4828225940760999,0.4975552027983382,149,236.54925537109375,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unet_resnet50,0,"1, 0, 0",0.5345998406410217,0.4215652346611023,0.4485059678554535,0.465400169537167,0.5784347589109459,0.5514940814861399,149,147.2085723876953,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unet_resnet50,1,"1, 0, 0",0.5290344953536987,0.4631723761558533,0.463985413312912,0.4709658107242069,0.5368275978401595,0.5360147252382822,149,162.86965942382812,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unet_resnet50,2,"1, 0, 0",0.4774275422096253,0.4618287682533264,0.4181685745716095,0.5225722660889497,0.5381712133393568,0.5818313488502376,149,167.24954223632812,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unet_resnet50,3,"1, 0, 0",0.5283290147781372,0.5108186602592468,0.4481557011604309,0.4716707912504819,0.4891814653779946,0.551844359036313,149,156.95155334472656,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unet_resnet50,4,"1, 0, 0",0.5561474561691284,0.4962438344955444,0.4622219800949097,0.4438526195053961,0.5037560129519736,0.5377779405638082,149,229.78439331054688,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unet_resnet34,0,"1, 1, 0",0.5932485461235046,0.4691722393035889,0.4647028744220734,0.4308429602304753,0.5570067790355168,0.5655187042245012,149,113.64103698730469,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unet_resnet34,1,"1, 1, 0",0.5134053826332092,0.4914509356021881,0.4333051443099976,0.5140158648646141,0.5472654883621955,0.6002403157732344,149,173.42982482910156,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unet_resnet34,2,"1, 1, 0",0.5490890741348267,0.5005240440368652,0.4667491912841797,0.4769856147376559,0.5280051030510781,0.5634073230703145,149,148.77268981933594,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unet_resnet34,4,"1, 1, 0",0.6017674803733826,0.5093951821327211,0.5072327852249146,0.4207471172672276,0.5277299509190096,0.5227280561102937,149,198.24562072753903,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unet_resnet50,0,"1, 1, 0",0.5310842990875244,0.43470922112464905,0.4460005462169647,0.497973371489335,0.5941928882224887,0.5848363528385857,149,148.38296508789062,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unet_resnet50,1,"1, 1, 0",0.5692909359931946,0.4771338999271393,0.4673063158988953,0.4550327659293973,0.5628810091784188,0.5632122274956955,149,148.58534240722656,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unet_resnet50,2,"1, 1, 0",0.5601230263710022,0.483301967382431,0.4762490391731262,0.4665181956983902,0.5468314856144727,0.5532153879372489,65,177.56922912597656,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unet_resnet50,3,"1, 1, 0",0.5369907617568971,0.5355886220932007,0.466856449842453,0.4913673875739006,0.4884954273116355,0.5629898730591433,87,170.34605407714844,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unet_resnet50,4,"1, 1, 0",0.5198706388473511,0.4915485084056854,0.4452246427536011,0.5086192253465746,0.5474529917729963,0.5872741022844188,83,227.1067047119141,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unetpp_densenet121,0,"3, 1, 0",0.5930547714233398,0.43689975142478943,0.44212806224823,1.2519062563447458,1.724374856726796,1.7130347473534526,71,137.40383911132812,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
unetpp_densenet121,1,"3, 1, 0",0.6946573257446289,0.5033902525901794,0.4464609622955322,0.9358551429003404,1.5375056659766273,1.70344719744676,123,138.98294067382812,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
unetpp_densenet121,2,"3, 1, 0",0.5924680829048157,0.4881605803966522,0.4551797211170197,1.253385393749877,1.5752836293449588,1.6759041204357783,59,182.8592529296875,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
unetpp_densenet121,3,"3, 1, 0",0.6743754148483276,0.5489287972450256,0.473412424325943,0.9995026962982642,1.385187593160891,1.6174874803088355,90,156.22982788085938,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
unetpp_densenet121,4,"3, 1, 0",0.6427855491638184,0.5085553526878357,0.4672670662403106,1.0964250956826351,1.5192103464119504,1.6365611521613517,93,199.47152709960938,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
unetpp_dpn68,0,"3, 1, 0",0.5552080273628235,0.4020187258720398,0.4072825014591217,1.364333076105071,1.8265103580904944,1.8152814137422488,81,92.2555923461914,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
unetpp_dpn68,1,"3, 1, 0",0.5818458199501038,0.46253663301467896,0.4403369128704071,1.2816060357509726,1.6608279947848883,1.7173542244150148,69,143.4483184814453,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
unetpp_dpn68,2,"3, 1, 0",0.5389753580093384,0.4701418280601502,0.4453996419906616,1.4182348416829869,1.627813895835596,1.7033456125796236,63,186.2609405517578,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
unetpp_dpn68,3,"3, 1, 0",0.5757436156272888,0.5186924338340759,0.4441256523132324,1.3042202011958972,1.4785001348046696,1.7063757092352734,93,155.04942321777344,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
unetpp_dpn68,4,"3, 1, 0",0.5857444405555725,0.491489589214325,0.4667763113975525,1.2725592440761186,1.5731093564836105,1.638683226230918,67,202.56707763671875,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
unetpp_efficientnet-b3,0,"3, 1, 0",0.7283108234405518,0.537384033203125,0.5308480262756348,0.8367136904114002,1.420441695142026,1.4461692279537781,59,110.7182846069336,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,17.69642448425293,175.12232971191406,
unetpp_efficientnet-b3,1,"3, 1, 0",0.6465891599655151,0.5750916600227356,0.5119209289550781,1.0852249890053298,1.3169622669617336,1.5025616632589442,32,163.48440551757812,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,22.0283260345459,305.9515380859375,
unetpp_efficientnet-b3,2,"3, 1, 0",0.6780822277069092,0.5370857119560242,0.524876594543457,0.9908179344211222,1.4249625227907126,1.4617423024398601,27,148.89820861816406,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,21.072431564331055,300.9664001464844,
unetpp_efficientnet-b3,3,"3, 1, 0",0.7432864308357239,0.5996111631393433,0.520528256893158,0.7910229579456315,1.2322210380259682,1.47902131159574,68,161.89744567871094,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,19.839923858642575,261.87100219726557,
unetpp_efficientnet-b3,4,"3, 1, 0",0.7066256403923035,0.5659072995185852,0.5501797795295715,0.9016290556128118,1.3459492471843664,1.3840740445433863,63,178.27024841308594,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,21.567386627197266,342.727294921875,
unetpp_resnet34,0,"1, 0, 0",0.5636882185935974,0.4520101845264435,0.4826010763645172,0.4363114543863245,0.5479897883008508,0.5173989096224703,149,130.12242126464844,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unetpp_resnet34,1,"1, 0, 0",0.6029884815216064,0.5071318745613098,0.4914380013942718,0.3970111739576888,0.4928681391711329,0.5085619166986832,149,154.2852325439453,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unetpp_resnet34,2,"1, 0, 0",0.5183481574058533,0.4741248190402985,0.4737527966499329,0.4816517760331859,0.525875185342396,0.5262472501258977,149,176.7087860107422,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unetpp_resnet34,3,"1, 0, 0",0.5498378276824951,0.5427197217941284,0.4614781141281128,0.4501619387317348,0.4572802890165179,0.5385217938991572,149,164.87957763671875,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unetpp_resnet34,4,"1, 0, 0",0.5949112772941589,0.5191419720649719,0.4983678758144378,0.4050886981627521,0.4808580255744481,0.5016322996442681,149,218.6885528564453,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unetpp_resnet34,0,"1, 1, 0",0.5970247983932495,0.4634308218955994,0.5011187195777893,0.4281320038093689,0.5635823814161852,0.5288068161697577,149,125.68069458007812,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unetpp_resnet34,1,"1, 1, 0",0.5890979170799255,0.5018688440322876,0.5011349320411682,0.4335508621972814,0.5345895291105205,0.528567270974055,149,156.134765625,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unetpp_resnet34,2,"1, 1, 0",0.5879915952682495,0.5248187780380249,0.4974302649497986,0.4364042402375535,0.5023496684928735,0.53282096261615,149,149.28350830078125,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unetpp_resnet34,3,"1, 1, 0",0.6081383228302002,0.5612013936042786,0.5137169361114502,0.41477393646351535,0.4638034866428843,0.5145294440799202,149,171.53189086914062,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
unetpp_resnet34,4,"1, 1, 0",0.5775384902954102,0.498214989900589,0.4951434731483459,0.44671911908788425,0.5400142977290815,0.5367673504727566,149,215.4546661376953,./transforms/train_transform512.yml,5e-06,20,10,0.1,0.0003,1.0,cbis,,,
fpn_densenet121,0,"3, 1, 0",0.7090704441070557,0.5018265247344971,0.5009366273880005,0.8977366541249159,1.5308249658521484,1.5368822408432992,77,116.08802795410156,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
fpn_densenet121,1,"3, 1, 0",0.6823971271514893,0.5278961658477783,0.4961398243904114,0.9760504450639872,1.4681921764916064,1.550919737346125,61,141.4296875,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
fpn_densenet121,2,"3, 1, 0",0.644490659236908,0.5223106741905212,0.4753648340702057,1.0968626144477132,1.4735595117889198,1.6197804350726652,60,207.41929626464844,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
fpn_densenet121,3,"3, 1, 0",0.6784068942070007,0.5729237794876099,0.5003501176834106,0.9906864757546628,1.3156326857267642,1.5402160073747695,57,162.76214599609375,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
fpn_densenet121,4,"3, 1, 0",0.6616662740707397,0.537219226360321,0.4972722232341766,1.0426873604894853,1.44056171090296,1.5544629468033646,68,208.0807647705078,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
fpn_dpn68,0,"3, 1, 0",0.6577044129371643,0.5065386295318604,0.5034607648849487,1.0556492590933526,1.5159230875033958,1.5287045804870047,72,146.1068878173828,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
fpn_dpn68,1,"3, 1, 0",0.6607950329780579,0.5091769099235535,0.4907974898815155,1.0424098210633532,1.5235164656358606,1.5699301427168562,67,139.63584899902344,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
fpn_dpn68,2,"3, 1, 0",0.6510486602783203,0.5200073719024658,0.4885917901992798,1.0753286779659093,1.4767473731555192,1.5760110218003889,78,150.639404296875,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
fpn_dpn68,3,"3, 1, 0",0.6716667413711548,0.5821927189826965,0.5013712644577026,1.012662979433226,1.2861902444970374,1.5364454785324881,92,151.03384399414062,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
fpn_dpn68,4,"3, 1, 0",0.6368944644927979,0.519533634185791,0.4937534928321838,1.1178309745063968,1.4913054425822627,1.5603626609243304,52,178.92123413085938,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
fpn_efficientnet-b3,0,"3, 1, 0",0.7589045763015747,0.5391167998313904,0.5367503166198729,0.7436731224124496,1.4217276237174576,1.4367864003639348,48,110.1255874633789,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
fpn_efficientnet-b3,1,"3, 1, 0",0.7464655637741089,0.5603305697441101,0.5394609570503235,0.7798308442719738,1.3779611366928792,1.4256640129926188,43,127.08930206298828,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
fpn_efficientnet-b3,2,"3, 1, 0",0.7351103425025941,0.5890114307403564,0.5259374380111694,0.8166886109684843,1.2707581074506629,1.471136061166296,49,145.7869110107422,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
fpn_efficientnet-b3,3,"3, 1, 0",0.7684506773948669,0.6035781502723694,0.5150330662727356,0.7139477552594365,1.2246115450181214,1.5018737685206711,60,154.9447479248047,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
fpn_efficientnet-b3,4,"3, 1, 0",0.7316852807998657,0.572329580783844,0.5142328143119812,0.8259223601689526,1.333479965087211,1.4992043001959656,57,168.8484344482422,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
fpn_resnet34,0,"3, 1, 0",0.6970729827880859,0.5002747178077698,0.4964034259319306,0.9336291942608153,1.5349100185375588,1.5520863288285716,75,110.23419952392578,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
fpn_resnet34,1,"3, 1, 0",0.6546079516410828,0.5170460939407349,0.4898708462715149,1.0614489283257094,1.5049554544921016,1.575767266730599,57,128.98385620117188,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
fpn_resnet34,2,"3, 1, 0",0.6291281580924988,0.49402916431427,0.4837394952774048,1.1408877465004417,1.5566523714977152,1.5918698683874497,32,136.59657287597656,./transforms/aggressive.yml,5e-06,20,9,0.1,0.0003,1.0,cbis,,,
